tas,"	Year", Month, Country, ISO3, ISO2
26.74,1928,11,GHA,,
26.0424,1928,12,GHA,,
26.5686,1929,1,GHA,,
27.7293,1929,2,GHA,,
28.0682,1929,3,GHA,,
28.1968,1929,4,GHA,,
27.6298,1929,5,GHA,,
26.2566,1929,6,GHA,,
26.0673,1929,7,GHA,,
25.0865,1929,8,GHA,,
26.2413,1929,9,GHA,,
26.0449,1929,10,GHA,,
26.2615,1929,11,GHA,,
25.2515,1929,12,GHA,,
26.6218,1930,1,GHA,,
29.3805,1930,2,GHA,,
29.71,1930,3,GHA,,
28.8475,1930,4,GHA,,
27.6039,1930,5,GHA,,
26.4887,1930,6,GHA,,
25.622,1930,7,GHA,,
25.3343,1930,8,GHA,,
26.1751,1930,9,GHA,,
26.0042,1930,10,GHA,,
28.0203,1930,11,GHA,,
27.5453,1930,12,GHA,,
27.526,1931,1,GHA,,
29.1186,1931,2,GHA,,
29.6614,1931,3,GHA,,
29.2382,1931,4,GHA,,
28.2185,1931,5,GHA,,
26.874,1931,6,GHA,,
26.3352,1931,7,GHA,,
25.9881,1931,8,GHA,,
25.517,1931,9,GHA,,
26.9961,1931,10,GHA,,
27.7793,1931,11,GHA,,
27.9858,1931,12,GHA,,
27.3942,1932,1,GHA,,
29.5999,1932,2,GHA,,
30.0612,1932,3,GHA,,
29.9654,1932,4,GHA,,
28.566,1932,5,GHA,,
26.2414,1932,6,GHA,,
25.3574,1932,7,GHA,,
26.094,1932,8,GHA,,
25.9613,1932,9,GHA,,
27.6614,1932,10,GHA,,
28.784,1932,11,GHA,,
27.8512,1932,12,GHA,,
28.686,1933,1,GHA,,
29.9922,1933,2,GHA,,
30.1296,1933,3,GHA,,
29.4499,1933,4,GHA,,
27.4332,1933,5,GHA,,
26.6468,1933,6,GHA,,
25.8885,1933,7,GHA,,
25.3589,1933,8,GHA,,
26.3395,1933,9,GHA,,
26.5265,1933,10,GHA,,
28.1469,1933,11,GHA,,
27.1162,1933,12,GHA,,
26.8666,1934,1,GHA,,
28.9492,1934,2,GHA,,
29.3061,1934,3,GHA,,
29.0396,1934,4,GHA,,
28.2228,1934,5,GHA,,
26.4185,1934,6,GHA,,
25.727,1934,7,GHA,,
25.8142,1934,8,GHA,,
26.4016,1934,9,GHA,,
27.2017,1934,10,GHA,,
28.4958,1934,11,GHA,,
27.1783,1934,12,GHA,,
27.2473,1935,1,GHA,,
29.3199,1935,2,GHA,,
30.8169,1935,3,GHA,,
29.9757,1935,4,GHA,,
